Date,Site ID,Cycle sequence,Combined_DateTime,Planned cycle length,Actual cycle length,Required cycle length,DS,Strategic approach controlling cycle time,Subsystem number,Stretched phase,A,B,C,D,E,F,G,Rounded_Time
2023-10-03,3037,1,2023-10-03 00:00:00,60,60,60,10,139,31,A,177.0,1.0,20.0,19.0,12.0,,,2023-07-04 00:00:00
2023-10-03,3037,6,2023-10-03 00:05:00,60,60,60,7,139,31,A,177.0,1.0,20.0,19.0,12.0,,,2023-07-04 00:05:00
2023-10-03,3037,11,2023-10-03 00:10:00,60,60,60,13,481,31,A,177.0,1.0,20.0,19.0,12.0,,,2023-07-04 00:10:00
2023-10-03,3037,16,2023-10-03 00:15:00,60,60,60,13,139,31,A,177.0,1.0,20.0,19.0,12.0,,,2023-07-04 00:15:00
2023-10-03,3037,21,2023-10-03 00:20:00,60,60,60,6,481,31,A,178.0,1.0,20.0,15.0,15.0,,,2023-07-04 00:20:00
2023-10-03,3037,26,2023-10-03 00:25:00,60,60,60,8,139,31,A,177.0,1.0,20.0,19.0,12.0,,,2023-07-04 00:25:00
2023-10-03,3037,31,2023-10-03 00:30:00,60,60,60,8,481,31,A,177.0,1.0,20.0,19.0,12.0,,,2023-07-04 00:30:00
2023-10-03,3037,36,2023-10-03 00:35:00,60,60,60,8,481,31,A,177.0,1.0,20.0,19.0,12.0,,,2023-07-04 00:35:00
2023-10-03,3037,41,2023-10-03 00:40:00,60,60,60,10,139,31,A,178.0,1.0,20.0,18.0,12.0,,,2023-07-04 00:40:00
2023-10-03,3037,46,2023-10-03 00:45:00,60,60,60,14,139,31,A,177.0,1.0,20.0,19.0,12.0,,,2023-07-04 00:45:00
2023-10-03,3037,51,2023-10-03 00:50:00,60,60,60,7,139,31,A,177.0,1.0,20.0,19.0,12.0,,,2023-07-04 00:50:00
2023-10-03,3037,56,2023-10-03 00:55:00,60,60,60,8,481,31,A,177.0,1.0,20.0,19.0,12.0,,,2023-07-04 00:55:00
2023-10-03,3037,61,2023-10-03 01:00:00,60,60,60,9,138,31,A,177.0,1.0,20.0,19.0,12.0,,,2023-07-04 01:00:00
2023-10-03,3037,66,2023-10-03 01:05:00,60,60,60,16,139,31,A,178.0,1.0,20.0,18.0,12.0,,,2023-07-04 01:05:00
2023-10-03,3037,71,2023-10-03 01:10:00,60,60,60,7,139,31,A,177.0,1.0,20.0,19.0,12.0,,,2023-07-04 01:10:00
2023-10-03,3037,76,2023-10-03 01:15:00,60,60,60,0,0,31,A,178.0,1.0,20.0,15.0,15.0,,,2023-07-04 01:15:00
2023-10-03,3037,81,2023-10-03 01:20:00,60,60,60,7,139,31,A,177.0,1.0,20.0,19.0,12.0,,,2023-07-04 01:20:00
2023-10-03,3037,86,2023-10-03 01:25:00,60,60,60,0,0,31,A,178.0,1.0,20.0,15.0,15.0,,,2023-07-04 01:25:00
2023-10-03,3037,91,2023-10-03 01:30:00,60,60,60,0,0,31,A,177.0,1.0,20.0,19.0,12.0,,,2023-07-04 01:30:00
