Date,Site ID,Cycle sequence,Combined_DateTime,Planned cycle length,Actual cycle length,Required cycle length,DS,Strategic approach controlling cycle time,Subsystem number,Stretched phase,A,B,C,D,E,F,G,Rounded_Time
2023-09-03,3036,1,2023-09-03 00:00:00,60,60,60,8,481,31,A,177.0,1.0,20.0,19.0,12.0,,,2023-07-04 00:00:00
2023-09-03,3036,6,2023-09-03 00:05:00,60,60,60,22,139,31,A,177.0,1.0,20.0,19.0,12.0,,,2023-07-04 00:05:00
2023-09-03,3036,11,2023-09-03 00:10:00,60,60,60,13,139,31,A,177.0,1.0,20.0,19.0,12.0,,,2023-07-04 00:10:00
2023-09-03,3036,16,2023-09-03 00:15:00,60,60,60,6,481,31,A,177.0,1.0,20.0,19.0,12.0,,,2023-07-04 00:15:00
2023-09-03,3036,21,2023-09-03 00:20:00,60,60,60,17,139,31,A,177.0,1.0,20.0,19.0,12.0,,,2023-07-04 00:20:00
2023-09-03,3036,26,2023-09-03 00:25:00,60,60,60,0,0,31,A,175.0,1.0,20.0,19.0,14.0,,,2023-07-04 00:25:00
2023-09-03,3036,31,2023-09-03 00:30:00,60,60,60,6,139,31,A,175.0,1.0,20.0,19.0,14.0,,,2023-07-04 00:30:00
2023-09-03,3036,36,2023-09-03 00:35:00,60,60,60,10,139,31,A,177.0,1.0,20.0,19.0,12.0,,,2023-07-04 00:35:00
2023-09-03,3036,41,2023-09-03 00:40:00,60,60,60,7,139,31,A,177.0,1.0,20.0,19.0,12.0,,,2023-07-04 00:40:00
2023-09-03,3036,46,2023-09-03 00:45:00,60,60,60,10,139,31,A,177.0,1.0,20.0,19.0,12.0,,,2023-07-04 00:45:00
2023-09-03,3036,51,2023-09-03 00:50:00,60,60,60,6,481,31,A,178.0,1.0,20.0,18.0,12.0,,,2023-07-04 00:50:00
2023-09-03,3036,56,2023-09-03 00:55:00,60,60,60,10,481,31,A,175.0,1.0,20.0,19.0,14.0,,,2023-07-04 00:55:00
2023-09-03,3036,61,2023-09-03 01:00:00,60,60,60,7,481,31,A,177.0,1.0,20.0,18.0,13.0,,,2023-07-04 01:00:00
2023-09-03,3036,66,2023-09-03 01:05:00,60,60,60,19,139,31,A,175.0,1.0,20.0,19.0,14.0,,,2023-07-04 01:05:00
2023-09-03,3036,71,2023-09-03 01:10:00,60,60,60,5,138,31,A,175.0,1.0,20.0,19.0,14.0,,,2023-07-04 01:10:00
2023-09-03,3036,76,2023-09-03 01:15:00,60,60,60,0,0,31,A,178.0,1.0,20.0,15.0,15.0,,,2023-07-04 01:15:00
